initial_account,next_account,step,amount,newbalanceorig
C634089015,C1337869699,106,8999.56,0.00
C170266679,C2133347282,106,2231.46,0.00
C1206714746,C834535104,106,186227.75,0.00
C823542906,C846435560,106,110457.00,0.00
C1817254692,C584837450,106,219489.62,0.00
C1047102725,C231294595,106,2708906.59,0.00
C1480088933,C279309247,107,1299860.86,0.00
C1854590782,C177484937,107,418691.02,0.00
C1866696919,C1840997848,107,570649.33,0.00
C40128322,C1650770381,107,37133.63,0.00
C399361899,C1430251334,107,204675.48,0.00
C696671781,C1532653479,108,36847.90,0.00
C1704281751,C587386073,108,99808.45,0.00
C1357772203,C585432949,108,566142.89,0.00
C1821246962,C1379131960,108,7060216.94,0.00
C950814543,C1505728182,109,177344.53,0.00
C83653019,C1418842986,109,126375.17,0.00
C1036579486,C1338642414,109,3523089.46,0.00
C1220229602,C1660826618,109,252417.45,0.00
C2003104872,C1716469564,109,20243.24,0.00
C776792146,C282454606,109,94613.12,0.00
C1150317761,C1725680409,110,904124.58,0.00
C549532314,C247181868,110,93732.16,0.00
C108472489,C1349687631,110,535654.59,0.00
C996004667,C723209092,110,743311.65,0.00
C918480550,C602397056,110,2145934.81,0.00
C2078704475,C248250646,111,3595911.39,0.00
C782313486,C280090898,111,98692.72,0.00
C211453570,C1975305951,111,1129884.18,0.00
C1494632213,C664508349,111,574709.63,0.00
C1595104027,C643646528,111,501496.31,0.00
C2070012456,C849021900,112,42418.85,0.00
C846061626,C314158626,113,314976.75,0.00
C1444276641,C1067127400,113,37119.58,0.00
C14417080,C1609424366,113,1636403.22,0.00
C233651792,C1170550501,114,2908264.69,0.00
C1846613103,C1770878693,114,966222.50,0.00
C250418765,C1387576762,115,120232.13,0.00
C1543576546,C1140609516,115,1844357.26,0.00
C1705399009,C625524494,115,1001167.03,0.00
C637063091,C835865588,115,116977.16,0.00
C1741821297,C182731485,115,530377.28,0.00
C1157016440,C1147862541,116,2066848.27,0.00
C2100014537,C973050515,116,2694857.26,0.00
C344826592,C654151270,116,1562871.32,0.00
C338600181,C2026102647,116,1243269.91,0.00
C61912705,C539442999,116,522465.43,0.00
C250439080,C225968166,116,12477.96,0.00
C1773883691,C1851184528,116,85408.24,0.00
C879463132,C89396076,117,251621.18,0.00
C1647475681,C396255249,117,149279.69,0.00
C1319377475,C1414915255,117,16671.29,0.00
C1956060083,C770424771,117,1761021.33,0.00
C916181834,C2076493196,117,466359.63,0.00
C802639228,C593736656,117,4032691.34,0.00
C267854618,C1253405980,118,50845.13,0.00
C611232899,C1347105871,118,10000000.00,1812161.42
C1720181306,C498618435,118,1812161.42,0.00
C994847262,C1096030644,118,167963.64,0.00
C1163712001,C2016806245,118,897427.17,0.00
C1987271305,C1225791278,118,3794763.63,0.00
C309726678,C979217194,119,2040209.74,0.00
C645925104,C916906045,119,1082718.08,0.00
C877672852,C409358964,119,224913.14,0.00
C483977018,C2045926309,119,21698.13,0.00
C1189212996,C632437973,119,202263.03,0.00
C1263028472,C945064086,120,1860190.06,0.00
C1982717014,C959776008,120,105859.41,0.00
C117760847,C578681858,120,49571.87,0.00
C1265971736,C806590394,120,377919.58,0.00
C562878740,C270375529,120,107773.49,0.00
C1049419908,C713376763,120,746518.21,0.00
C339904211,C2120724538,121,254440.83,0.00
C575671201,C2040166984,121,130987.75,0.00
C181177203,C1002183297,121,2142164.00,0.00
C91294902,C995709534,121,43357.65,0.00
C1539299608,C375267568,121,1241118.86,0.00
C415681195,C243023678,121,936976.86,0.00
C1712613012,C1523305736,121,174296.71,0.00
C1039891737,C330996980,122,990857.53,0.00
C618768599,C1191948500,122,91637.51,0.00
C185905309,C1791646487,122,2658595.89,0.00
C150631994,C1160422569,122,2221683.68,0.00
C2026720299,C669965600,122,188249.17,0.00
C1216944789,C1450080654,122,355832.18,0.00
C145252938,C2046097949,122,994676.91,0.00
C270791126,C1396625273,123,6351930.74,0.00
C465738897,C289330473,123,629958.00,0.00
C1901170304,C1861343965,123,4289.18,0.00
C2129900930,C1804261014,124,1399637.19,0.00
C167488694,C629818525,124,9639052.83,0.00
C205447867,C892594669,125,99793.90,0.00
C288917283,C652970534,125,621569.61,0.00
C988834023,C21867933,125,222097.11,0.00
C699771361,C1114367477,125,144065.75,0.00
C2047670192,C1601626536,125,8097183.22,0.00
C823324093,C1906616566,126,5245375.30,0.00
C2133606495,C1015051610,126,1244037.74,0.00
C164359824,C1021865689,126,938288.58,0.00
C1729870002,C1917348003,127,426532.40,0.00
C146118630,C793816402,127,829012.31,0.00
C37315617,C115063912,127,1848199.45,0.00
C119613068,C947645496,127,6910926.92,0.00
C441757024,C1633571527,127,6339.42,0.00
C1264740364,C1367862566,127,701707.89,0.00
C159404315,C1578451350,127,321883.89,0.00
C555674757,C1570042752,128,310873.76,0.00
C1664723459,C366674827,128,4483868.79,0.00
C1087011428,C2027691361,128,138993.63,0.00
C1883146038,C1829816934,128,3062506.58,0.00
C922917235,C1075980653,129,139210.23,0.00
C511096622,C1787080738,129,617668.37,0.00
C1076727002,C192399554,129,1864022.05,0.00
C2072241236,C165716979,130,1494432.21,0.00
C1124488417,C795184692,130,201988.55,0.00
C2122951913,C878866926,130,21531.00,0.00
C1573880228,C313140840,131,511259.05,0.00
C778841349,C512420448,131,53340.45,0.00
C2046014385,C97016938,131,10000000.00,7476725.66
C452889653,C1784013165,131,7476725.66,0.00
C479192985,C1723011411,131,2540410.33,0.00
C1557244190,C746124782,131,2745923.02,0.00
C245964929,C2025243065,131,2248584.96,0.00
C1827233798,C203519578,131,124057.58,0.00
C1484143293,C1982144545,132,768520.15,0.00
C1242611758,C1769880049,132,2479940.21,0.00
C808515301,C1111269172,132,3735525.00,0.00
C1964503568,C1405052929,132,190737.49,0.00
C926121167,C516391420,132,1400472.01,0.00
C1612087720,C156111080,133,899782.70,0.00
C1465621958,C1350854883,133,212130.67,0.00
C695823841,C679367763,133,1159010.44,0.00
C532758162,C1844648753,133,16274.51,0.00
C199493859,C1845834519,133,57512.29,0.00
C1626206684,C1082903633,134,100109.03,0.00
C17491956,C983697974,134,2460110.25,0.00
C426632957,C48103061,134,10000000.00,3892156.30
C1631482807,C1003909463,134,3892156.30,0.00
C311903293,C974621415,134,1525742.02,0.00
C16325193,C1142308678,135,60646.82,0.00
C885687058,C1873143762,135,515645.16,0.00
C244991293,C1736477135,135,128417.96,0.00
C3592918,C956442492,135,7927.06,0.00
C1406501579,C106008304,136,3263443.15,0.00
C652728063,C1111932941,136,199878.85,0.00
C1105946611,C704248437,136,1457343.37,0.00
C909629490,C967833136,136,95267.81,0.00
C584194979,C2018653161,136,7563536.91,0.00
C272782184,C804016361,137,1265379.37,0.00
C2118315952,C1765086127,137,417217.89,0.00
C965340171,C863634081,137,3116833.75,0.00
C629787900,C794779116,137,433348.97,0.00
C1430436436,C1190598592,137,1746415.27,0.00
C984621443,C1664913171,137,1010857.38,0.00
C614130152,C1884751175,138,234723.40,0.00
C13476489,C267641579,138,303432.45,0.00
C1377280897,C1616326954,139,11653.98,0.00
C797411112,C1969431607,139,375141.86,0.00
C1764838564,C908334947,140,98918.12,0.00
C1584907362,C1968032236,140,4400457.84,0.00
C617343530,C826178834,140,2873536.01,0.00
C1136009119,C864356085,140,649968.87,0.00
C1245242026,C1270286855,140,53782.87,0.00
C2103265286,C1983881188,140,6783.47,0.00
C2077349691,C1084745471,140,456360.87,0.00
C355611635,C137763659,141,370382.39,0.00
C1446312452,C1127367345,141,350800.27,0.00
C227497385,C195200661,141,1589614.75,0.00
C1146223935,C840928350,141,455372.54,0.00
C627366177,C1014517365,142,73064.41,0.00
C168746534,C717942686,142,78810.30,0.00
C1521066827,C237081413,142,6168077.60,0.00
C171834973,C1249377837,142,346374.54,0.00
C809314999,C421219545,143,1822754.86,0.00
C740325067,C951611415,143,7068115.67,0.00
C6950250,C525235814,143,3222396.00,0.00
C239155420,C780047306,143,171337.99,0.00
C1352884053,C769290642,143,155854.37,0.00
C986104580,C638622205,143,810599.16,0.00
C659082738,C2146348843,143,1608571.02,0.00
C996891607,C1918140601,143,32076.17,0.00
C160577338,C162068560,144,612743.87,0.00
C549010172,C1983458809,144,343999.80,0.00
C1544110174,C2112676621,144,325732.34,0.00
C231882139,C908283595,144,102750.55,0.00
C1236932461,C761922099,144,2120266.89,0.00
C1544286887,C436837170,145,1767886.02,0.00
C1788535052,C130229315,145,66448.19,0.00
C1481292260,C1130721375,145,34301.19,0.00
C1207025716,C1129375709,145,1539687.27,0.00
C699121827,C1252527370,145,3572736.74,0.00
C1581441429,C528739527,145,150245.05,0.00
C384072543,C588343679,145,9467.62,0.00
C2111007650,C830545754,146,7114590.07,0.00
C1683014037,C330996942,146,554522.67,0.00
C781269019,C414219779,146,489714.94,0.00
C204723850,C776823334,146,60516.53,0.00
C1524859544,C1609215593,146,322329.78,0.00
C318449492,C632641086,147,1137603.28,0.00
C1398711376,C910056711,147,489514.32,0.00
C520000532,C1415536651,147,522343.83,0.00
C492529807,C863881747,148,3733104.07,0.00
C380436221,C390478316,148,677563.22,0.00
C981156733,C1127756392,148,208630.60,0.00
C193359947,C1492417626,148,99168.97,0.00
C1287690661,C89259074,148,288032.02,0.00
C1107493587,C1252635926,148,394886.13,0.00
C961585962,C420013830,149,3567795.25,0.00
C644461702,C1700734681,149,661558.27,0.00
C1138260378,C944216727,149,861406.83,0.00
C1706545542,C2068537951,149,155534.95,0.00
C1962597060,C103010660,149,7188425.25,0.00
C767812247,C263239858,149,17569.42,0.00
C149923854,C32740114,149,2860852.43,0.00
C1433873566,C45573890,149,172510.95,0.00
C20381324,C948884752,149,14016.65,0.00
C1058610480,C532968715,149,5477272.72,0.00
C32072750,C398888765,149,29832.81,0.00
C1644591810,C2090168733,150,1335959.76,0.00
C1944439526,C525813177,150,119454.86,0.00
C1875243671,C342413746,150,67653.75,0.00
C1298700512,C1954906518,150,163852.19,0.00
C299814057,C1248568402,150,147171.30,0.00
C919002200,C1705969285,150,3178915.22,0.00
C2123396844,C304787673,150,1994285.14,0.00
C1183499119,C1668573302,151,127091.33,0.00
C1085303819,C1227606415,151,273746.13,0.00
C1639051922,C862738497,151,147080.42,0.00
C866838575,C1299552545,151,258103.59,0.00
C1983851007,C1777824686,151,443893.69,0.00
C1915521741,C1011899331,151,338229.88,0.00
C1707046857,C1057271588,151,1766811.07,0.00
C2053411637,C337996170,151,1633227.00,0.00
C134880961,C1742051679,151,113614.57,0.00
C2058960648,C413773455,152,2175288.90,0.00
C488688199,C1626596200,152,102945.99,0.00
C1566001424,C421137084,152,389275.23,0.00
C1944993034,C2019813234,153,234853.95,0.00
C95607946,C1485064978,153,1027260.28,0.00
C709433004,C895867127,153,115535.52,0.00
C742014717,C832072738,153,412511.32,0.00
C1551236270,C1615265325,153,109008.53,0.00
C525094295,C1227140527,154,4530.71,0.00
C1197049962,C1656842502,154,442722.01,0.00
C1665891733,C1915924384,154,1581441.80,0.00
C1468687617,C387457266,154,3424092.39,0.00
C1874018403,C1391104856,154,141837.80,0.00
C1918133252,C214058020,155,49372.94,0.00
C954871123,C372683290,155,242179.39,0.00
C1732090063,C688711189,155,2723017.17,0.00
C1780509155,C393947373,155,682309.83,0.00
C1561180721,C354861131,156,79031.41,0.00
C1483115397,C627099029,156,805319.81,0.00
C2131970934,C204911747,156,773696.12,0.00
C514076656,C1340029873,156,254167.15,0.00
C598184926,C2081880408,156,157705.36,0.00
C2086963395,C1551302836,156,822361.52,0.00
C1471003235,C354295932,156,134497.41,0.00
C1020546526,C727304314,156,619836.33,0.00
C317224032,C2050121907,156,86848.88,0.00
C315040579,C657935112,157,95348.33,0.00
C1839723035,C1602753129,157,431356.55,0.00
C1533698204,C1200872138,157,4738282.28,0.00
C1522688362,C1520186695,157,1946687.34,0.00
C1635910106,C556652352,157,2498837.82,0.00
C717731676,C572895729,157,1397162.15,0.00
C1875095816,C1637949405,157,939518.05,0.00
C798159363,C808528635,157,813775.73,0.00
C970953721,C574361249,158,171456.83,0.00
C1983738324,C1036857072,158,27723.34,0.00
C1868574170,C1851909652,158,3457169.26,0.00
C944291289,C1812394999,158,2118548.31,0.00
C1395649646,C640393193,159,416832.90,0.00
C2089040405,C1669420376,159,301193.32,0.00
C570327586,C2065540881,159,20225.17,0.00
C1060391149,C1835811018,159,474052.54,0.00
C412407665,C158610955,159,224661.54,0.00
C313051938,C2055653883,160,10000000.00,27670038.08
C752627210,C1853789265,160,10000000.00,17670038.08
C1274910960,C1270029603,160,10000000.00,7670038.08
C1744142327,C197131659,160,7670038.08,0.00
C639037502,C595727199,160,141508.56,0.00
C865731380,C1544602666,160,11385.00,0.00
C881291661,C615238056,160,360749.76,0.00
C814345778,C1464577173,160,548161.93,0.00
C962450896,C344604572,160,256705.68,0.00
C1764461949,C160976870,160,1284959.39,0.00
C590755759,C935560343,160,1697093.54,0.00
C1616917685,C2003827425,160,2432747.48,0.00
C364430080,C1690780304,160,32872.00,0.00
C568654206,C1584023529,161,144876.40,0.00
C1222822414,C482115105,161,538428.86,0.00
C1167018610,C2064362362,161,1533798.48,0.00
C1074244611,C770300650,161,160351.22,0.00
C582011779,C1801176562,161,8720558.46,0.00
C831325954,C1166671647,161,10000000.00,1336901.11
C1039450195,C221111810,161,1336901.11,0.00
C2121092345,C572426271,162,2934820.94,0.00
C1906595632,C963512696,162,5820137.62,0.00
C1270175707,C524442031,162,436906.22,0.00
C1172437299,C315826176,162,151.00,0.00
C1699496065,C1917022253,162,8327328.27,0.00
C239172527,C237111341,163,1153200.73,0.00
C316784641,C1951372697,163,134194.59,0.00
C1455660898,C364400523,163,762135.72,0.00
C1008040846,C1284780903,163,163294.35,0.00
C1933312509,C864512280,164,276042.59,0.00
C242919633,C1805134264,164,175267.61,0.00
C743239060,C1443003835,164,1627389.26,0.00
C138035077,C550830618,164,1191399.72,0.00
C1588740494,C827087701,164,329728.11,0.00
C485323920,C1780714769,164,177680.54,0.00
C1371017446,C464009928,164,1132311.86,0.00
C166998225,C1222965413,165,798007.45,0.00
C975058065,C1510104619,165,1869237.83,0.00
C840664227,C1307176064,166,49966.72,0.00
C763158589,C846072778,166,204951.37,0.00
C660401037,C1657963478,166,1803411.53,0.00
C1404051898,C2011208491,167,251140.96,0.00
C742560107,C1438332987,167,2598276.05,0.00
C2057236817,C2091501904,167,279728.80,0.00
C1185526711,C342454180,168,7513581.46,0.00
C287179256,C642298837,169,310712.71,0.00
C1454479269,C478742844,169,978261.98,0.00
C607841205,C253088101,169,1179716.49,0.00
C822440427,C58091991,169,286306.33,0.00
C1225444134,C999409522,169,19244.90,0.00
C622490191,C1928486758,170,7246962.16,0.00
C220889804,C1303263986,170,147649.37,0.00
C167000923,C604175667,170,176700.12,0.00
C1224347529,C938248377,170,6302888.93,0.00
C1173597457,C1668522161,170,2612915.20,0.00
C1145874885,C1766823822,170,908858.12,0.00
C139567724,C2000039513,170,871893.15,0.00
C1945733096,C2017325306,170,335859.86,0.00
C612440112,C1415278169,171,6501296.36,0.00
C499413300,C1789606671,171,1786247.31,0.00
C847645948,C269162612,171,1777674.32,0.00
C1835704513,C260205493,171,211721.90,0.00
C664235460,C162417333,171,948288.30,0.00
C99753762,C1760625669,171,2754740.54,0.00
C533125295,C1217960953,171,1437291.89,0.00
C662766800,C18004144,172,1116508.49,0.00
C739431473,C1097630164,172,70072.66,0.00
C1324987757,C704140771,172,800024.12,0.00
C2027508914,C1907001338,172,976830.22,0.00
C548545362,C373573022,172,692984.55,0.00
C1042347270,C1491818323,173,98634.75,0.00
C1786873519,C732697292,173,2232667.51,0.00
C1302526975,C595351088,173,2177218.43,0.00
C627887471,C677512181,173,364333.03,0.00
C377226285,C497430875,173,8594499.99,0.00
C386692409,C1025742188,173,176273.29,0.00
C1987163387,C1935979044,173,20311.17,0.00
C269586654,C229186362,174,18887.22,0.00
C1059048177,C1277391271,174,31045.76,0.00
C381361852,C1125303193,174,1244224.16,0.00
C788474412,C1128836138,174,250223.24,0.00
C1831248257,C525486982,174,1536245.52,0.00
C1046781112,C556777856,175,895565.06,0.00
C1972288489,C305797436,175,47604.75,0.00
C344677665,C1831197115,175,87622.50,0.00
C1314274977,C650349902,175,319208.14,0.00
C2073914981,C1753584812,176,106642.43,0.00
C1177644570,C1344630204,176,102229.91,0.00
C1773992583,C1305245838,176,351332.16,0.00
C1919843108,C69123397,176,455709.80,0.00
C399364024,C201700405,176,665489.33,0.00
C543731101,C1586760736,177,158000.29,0.00
C1900756070,C1995455020,177,1201681.76,0.00
C759888632,C1568773487,177,239556.06,0.00
C153745102,C1921197760,177,586718.88,0.00
C389894341,C118998348,177,63210.91,0.00
C1139422478,C248138217,177,68536.24,0.00
C1206970364,C218347710,177,452804.42,0.00
C47077712,C798319481,177,178503.45,0.00
C881672878,C5616107,177,382960.64,0.00
C95297644,C679714329,178,3354200.39,0.00
C1381052482,C1661818844,178,102660.35,0.00
C431984224,C492573664,178,925579.57,0.00
C1028321067,C1506966861,178,85017.99,0.00
C604295926,C1097845207,178,763913.96,0.00
C913178524,C553554525,178,1796069.20,0.00
C286391269,C551483536,178,2222008.27,0.00
C33272921,C2048044675,179,445705.76,0.00
C729254604,C1961352434,179,190590.65,0.00
C1592823554,C1657758486,179,225361.44,0.00
C1705883896,C258215915,179,1494831.65,0.00
C1060408548,C1602479999,180,173309.11,0.00
C1508594424,C1444631311,180,887941.44,0.00
C771163854,C88210735,180,3608191.52,0.00
C1807376004,C1506576839,180,8186519.17,0.00
C2003297208,C747248533,180,5363594.86,0.00
C744563060,C300922639,181,1644749.94,0.00
C1274609372,C1409623409,181,12278.00,0.00
C636129537,C1515281371,181,252189.32,0.00
C997127653,C1969513501,181,955505.54,0.00
C364474699,C1549220926,181,410299.86,0.00
C204628834,C1711881431,182,1486052.97,0.00
C1713328586,C1253692223,182,166323.01,0.00
C1641162834,C298906210,182,294989.71,0.00
C304885039,C2068840304,182,767755.17,0.00
C1611595121,C739347171,183,1503297.45,0.00
C1189870907,C1726450502,183,627903.12,0.00
C1778106585,C144558690,183,342675.47,0.00
C1296748795,C817583819,183,4354175.33,0.00
C1015989725,C1865051684,183,2075328.73,0.00
C1246119241,C1893337612,183,224378.10,0.00
C1946400298,C1340648788,183,355909.21,0.00
C1386471589,C827527854,183,5566.14,0.00
C1621868910,C80114105,184,73486.80,0.00
C1997179270,C1394632446,184,96286.54,0.00
C1270223061,C277862929,184,60519.74,0.00
C1877543118,C248812061,184,90346.05,0.00
C725816726,C347075851,185,489111.71,0.00
C953989507,C2123949636,185,194180.11,0.00
C1493693019,C1706673485,185,131597.73,0.00
C1700987687,C463702368,185,476890.47,0.00
C473435189,C1934689735,185,448265.08,0.00
C236258946,C439854722,185,164213.17,0.00
C1588274712,C1261092455,185,830495.23,0.00
C1562667189,C2129142994,185,63009.43,0.00
C1435733286,C1100493730,186,304472.46,0.00
C546277701,C680858375,186,8607089.62,0.00
C1715235345,C1801554498,186,20364.00,0.00
C2013471968,C1637615155,186,327282.92,0.00
C1210414819,C118885392,186,8142605.46,0.00
C71755087,C1714094966,186,561149.90,0.00
C1132083905,C955198432,186,179321.12,0.00
C1089670756,C747932688,186,345802.34,0.00
C1216424178,C988753376,187,2044841.02,0.00
C1644806560,C1111727092,187,44164.00,0.00
C625994500,C2116199681,187,856386.66,0.00
C1692442952,C1950313114,187,1736804.93,0.00
C2146618198,C1901906276,187,7196174.56,0.00
C1786265629,C427757438,188,312971.23,0.00
C467245091,C714852776,188,237642.64,0.00
C1476946789,C1192579273,188,3671853.86,0.00
C1298821369,C476199705,188,389214.05,0.00
C2089796608,C77532611,188,5777706.65,0.00
C1949146273,C979925906,189,121579.98,0.00
C2049488051,C43121788,189,358529.20,0.00
C450854769,C2101891775,189,2339743.18,0.00
C1144552495,C1141615758,189,32830.82,0.00
C1080269027,C967600004,189,2216703.82,0.00
C1102554601,C335271811,190,10000000.00,185510.21
C818165739,C1105587569,190,185510.21,0.00
C1027432342,C211740170,190,265747.73,0.00
C1589402029,C93781431,190,605029.34,0.00
C1208951534,C1975333584,191,135200.37,0.00
C1822241630,C1691662362,191,114743.39,0.00
C1147794387,C537174691,191,2815.61,0.00
C1222456458,C194390242,191,132294.93,0.00
C187003586,C825722694,191,1895158.63,0.00
C943280321,C1640751970,191,416284.70,0.00
C1519807189,C1809216911,192,306213.63,0.00
C1959772119,C195893407,192,1764326.19,0.00
C1260112873,C344287323,192,585511.14,0.00
C552483700,C877622868,192,8783.42,0.00
C850343949,C1016060070,192,1489970.00,0.00
C1587691701,C437134310,193,660746.19,0.00
C1707545075,C700261838,193,113273.10,0.00
C1773981009,C1173174828,193,103368.58,0.00
C1353043821,C681894805,193,266351.60,0.00
C451714826,C437448683,194,911895.71,0.00
C1043170433,C768896772,194,1501297.88,0.00
C522310977,C11945612,194,21741.36,0.00
C1416798021,C1082370517,194,2942177.94,0.00
C927935901,C1992560151,194,452294.74,0.00
C726278083,C1737159019,194,651477.38,0.00
C1023699777,C14537324,195,601657.23,0.00
C972303876,C1241045648,195,71323.49,0.00
C2095225701,C879181600,195,2031464.82,0.00
C1261111835,C340862934,195,594229.77,0.00
C1090956083,C1420397387,195,127342.30,0.00
C842156378,C1029607217,196,288148.22,0.00
C983611149,C691637954,196,1221900.21,0.00
C918655375,C2100877994,196,436035.29,0.00
C1967632347,C1971557254,196,553399.25,0.00
C311903861,C316708626,197,1961426.59,0.00
C813852044,C34034576,197,486060.16,0.00
C156186481,C1456746018,198,2153055.36,0.00
C742596177,C1639263930,198,2634032.61,0.00
C1786346447,C768834848,198,18471.55,0.00
C470813600,C931720815,198,7197532.27,0.00
C1313940667,C518686874,198,152961.49,0.00
C1407135183,C1128587638,198,7620549.14,0.00
C1191502221,C1529468994,199,80885.48,0.00
C1362743884,C1885652629,199,3644234.06,0.00
C169063525,C1364144454,199,465498.74,0.00
C2141349568,C862273791,199,590229.26,0.00
C1950985216,C1535946302,199,295054.68,0.00
C910554500,C1125661425,200,54380.21,0.00
C254697935,C1112225994,200,159232.01,0.00
C679238677,C2112303163,200,7482670.24,0.00
C1392488521,C163718633,200,5393290.34,0.00
C782494245,C699173824,201,16182.70,0.00
C1795788636,C772286572,201,662276.78,0.00
C336094122,C382034420,201,2477661.97,0.00
C1524082386,C2033959349,201,564699.59,0.00
C243052380,C129557647,202,2263927.04,0.00
C1631478680,C1835027188,203,466580.69,0.00
C774814056,C900711437,203,4644693.12,0.00
C481315574,C1346352001,203,48299.77,0.00
C1263647967,C1765579007,203,2913787.08,0.00
C421862868,C1976548052,204,79938.47,0.00
C1454763398,C940142148,204,81244.31,0.00
C1923199503,C1004490006,204,2144208.23,0.00
C1498185758,C1639518321,205,566156.42,0.00
C789938480,C1898428967,205,846589.73,0.00
C1887373253,C1609905558,205,188473.09,0.00
C562497743,C812512392,205,475315.61,0.00
C1863683348,C1011918912,205,216179.15,0.00
C468833365,C600157960,205,245694.84,0.00
C1018357975,C202489390,205,128572.96,0.00
C1573553725,C74177098,205,96640.12,0.00
C338408648,C1667746886,206,5903046.38,0.00
C1489685700,C371244404,206,14206.82,0.00
C433588108,C1877856948,206,998110.47,0.00
C1983440446,C883310788,206,154196.49,0.00
C185633643,C125986945,206,990630.25,0.00
C587951461,C1789153045,206,235750.53,0.00
C1460251004,C1783331478,207,682063.33,0.00
C539030556,C448140191,207,328110.30,0.00
C433911450,C2145994547,207,38427.47,0.00
C498213361,C1112515195,208,246402.71,0.00
C1962368245,C715458318,208,1128579.71,0.00
C637181363,C1414606558,208,917014.64,0.00
C1482849004,C122914320,208,164519.70,0.00
C1437293424,C210615466,208,3864609.52,0.00
C1259630002,C2074890219,208,134861.82,0.00
C1462162029,C1464615322,208,50820.71,0.00
C1583495831,C1452204063,208,131261.23,0.00
C2041567241,C2093303821,208,4815187.09,0.00
C1022427332,C1199824577,208,23031.26,0.00
C1966259064,C477578794,209,329156.43,0.00
C16402858,C2025262313,209,7044227.89,0.00
C117228585,C750076858,209,1516823.73,0.00
C438581,C1908037718,210,1663895.14,0.00
C86775572,C2076547947,210,94431.98,0.00
C1438925911,C570315101,210,23610.85,0.00
C762854717,C1398042532,210,1651948.79,0.00
C532793923,C5325998,211,5689516.13,0.00
C195008073,C390992716,211,157137.97,0.00
C883452416,C89201535,211,405062.33,0.00
C171693930,C678151847,211,1330802.24,0.00
C1632654111,C716157747,211,73599.57,0.00
C248568064,C280959828,211,1049232.11,0.00
C588214650,C1302604885,211,55920.39,0.00
C1651626047,C1496518496,212,555574.92,0.00
C533316597,C762597253,212,927620.44,0.00
C1350141268,C1676513288,212,94261.84,0.00
C2080183074,C367657984,212,3640983.71,0.00
C1956751505,C1580974524,212,31593.95,0.00
C1531278091,C972530514,212,10000000.00,24953893.08
C217654973,C167868594,212,10000000.00,14953893.08
C976919593,C769483130,212,10000000.00,4953893.08
C728984460,C639921569,212,4953893.08,4953893.08
C1746633930,C1032143722,212,296699.39,0.00
C192629341,C711485958,212,1220.80,0.00
C1338159838,C18838691,212,36035.11,0.00
C1442171840,C1053252672,212,362988.52,0.00
C1722259172,C715201096,212,1434440.31,0.00
C1501311535,C37561886,212,1947807.58,0.00
C226207762,C290920701,212,5131896.17,0.00
C1647539449,C823304803,212,165925.37,0.00
C1183135461,C1446253105,212,704328.29,0.00
C1251759902,C75355732,212,362631.05,0.00
C1093407378,C1069699196,212,3996798.71,0.00
C1117531125,C315033309,213,188658.45,0.00
C507437434,C1489598243,213,1650168.90,0.00
C1909573304,C649284727,213,1835523.44,0.00
C1889530016,C1183190290,213,1123639.01,0.00
C70399641,C490606364,214,106434.23,0.00
C1730910853,C2126645098,214,116419.58,0.00
C511187866,C1282311771,214,39525.63,0.00
C498171092,C1522527202,214,2485467.28,0.00
C1051284660,C1793602231,214,2582313.07,0.00
C1099567292,C219699784,214,1368391.50,0.00
C1989363857,C1194956455,215,319887.08,0.00
C1433301955,C929797843,215,9453680.72,0.00
C109700228,C546843305,215,1586479.66,0.00
C1832009183,C1888133010,215,45053.05,0.00
C1471998742,C1416577798,215,332151.67,0.00
C304225681,C1268559255,216,36300.25,0.00
C22557199,C1099497770,216,31358.72,0.00
C1402144865,C1102195380,216,1697655.62,0.00
C652385555,C1385664788,217,13266.93,0.00
C1904718336,C364331020,217,81216.23,0.00
C640532730,C1898517729,217,538312.05,0.00
C961544544,C1243210934,217,92057.19,0.00
C937580010,C1096456296,217,3452538.75,0.00
C829027470,C1294736725,217,108783.20,0.00
C706587857,C1000855680,217,972713.05,0.00
C737805330,C95497676,217,1052668.73,0.00
C58219748,C792397679,218,7983958.34,0.00
C1928586113,C2024262984,218,61470.02,0.00
C460813809,C1079863947,218,145379.14,0.00
C1458982396,C534254918,218,1476248.65,0.00
C2003844329,C1624790907,218,494453.52,0.00
C1415925120,C1578069849,218,957432.32,0.00
C2046149869,C1910853781,219,555731.98,0.00
C1091954556,C2120902044,219,2312944.11,0.00
C446483369,C1847574055,219,1128131.99,0.00
C1026095459,C1060066770,219,248242.32,0.00
C2064408554,C1562975084,219,36371.77,0.00
C347805386,C1668428176,220,1179162.08,0.00
C33984222,C330559160,220,3379009.86,0.00
C819453413,C1547058587,220,285376.60,0.00
C1057075880,C2123365185,221,167060.63,0.00
C546087307,C2079015862,221,574588.22,0.00
C1234309969,C587188586,221,1123561.68,0.00
C2026988003,C37447993,221,93708.08,0.00
C767035250,C870958103,221,684174.46,0.00
C1139136882,C1587529790,222,35759.12,0.00
C369868816,C2037736375,222,211628.75,0.00
C146036421,C423402109,222,1338487.47,0.00
C354106674,C221253798,222,1388774.78,0.00
C1711836423,C1676868220,223,334890.91,0.00
C997712071,C752642533,223,2308798.26,0.00
C1278233953,C1583808597,223,468446.77,0.00
C883385681,C57838104,223,181588.30,0.00
C1707526700,C1178212988,224,99316.36,0.00
